"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"EC VOTER
COUNTS",ANALYZED VOTER COUNT
11421,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,07,"LOWER CELL MBARARA
MODERN PRI SCH [K ‐",142,182,,586,324
11422,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,08,"CENTRAL CELL [A ‐ J]
NYAMITYOBORA",210,376,,597,586
11423,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,09,"CENTRAL CELL [O ‐ Z]
NYAMITYOBORA",299,297,,531,596
11424,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,11,"MARKET [A ‐ L]
NYAMITYOBORA PRI",203,328,,421,531
11425,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,12,"KILEMBE
NYAMITYOBORA PRI",257,164,,631,421
11426,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,13,"AGIP [A ‐ M]
NYAMITYOBORA",333,298,,556,631
11427,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,14,"SURVEY [A ‐ L]
MBARARA MODERN PRI",185,371,,818,556
11428,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,15,"SURVEY [M ‐ Z]
MBARARA MODERN PRI",461,357,,901,818
11429,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,16,"AGIP [N ‐ Z]
NYAMITYOBORA",446,455,,413,901
11430,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,17,"MARKET [M ‐ Z]
NYAMITYOBORA PRI",230,183,,498,413
11431,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,18,"CENTRAL CELL [K ‐ L]
NYAMITYOBORA",232,266,,624,498
11432,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,19,"CENTRAL CELL [M]
NYAMITYOBORA",373,250,,322,623
11433,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,20,"CENTRAL CELL [N]
NYAMITYOBORA",66,256,,524,322
11434,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,22,"LOWER CELL MBARARA
MODERN PRI SCH [N ‐",427,97,,720,524
11435,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,25,NEW TAXI PARK (M ‐ Z),417,303,,495,720
11436,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,40,"LUBIRI CELL I [A ‐ A]
TRADING CENTRE",227,268,,449,495
11437,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,41,"LUBIRI CELL I [B ‐ J]
TRADING CENTRE",259,190,,352,449
11438,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,42,"LUBIRI CELL I [K ‐ L]
TRADING CENTRE",85,267,,643,352
11439,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,43,"LUBIRI CELL I [M ‐ N]
TRADING CENTRE",352,291,,946,643
11440,27,MBARARA,144,"MBARARA
MUNICIPALITY",01,KAKOBA,02,NYAMITYOBORA,44,"LUBIRI CELL I [O ‐ Z]
TRADING CENTRE",464,482,,754,946
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
11441,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,01,"MBARARA DISTRICT
HQTRS (A ‐ L)",218,536,,568,754
11442,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,02,"MBARARA DISTRICT
HQTRS  (M‐Z)",366,202,,564,568
11443,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,03,"KAKYEKA STADIUM
SOUTH (RWEBIKOONA)",279,284,,751,563
11444,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,04,"KAKYEKA STADIUM
SOUTH (RWEBIKOONA)",418,333,,736,751
11445,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,05,"KASHANYARAZI
PLAYGROUND",313,423,,639,736
11446,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,06,"BOOMA GOLF COURSE
(A ‐ L)",325,314,,356,639
11447,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,07,"PENTECOSTAL PRI SCH
SOUTH (BIAFRA) (A ‐ L)",200,156,,694,356
11448,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,08,"PENTECOSTAL PRI SCH
SOUTH (BIAFRA) (M‐Z)",371,323,,819,694
11449,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,09,NTARE SCHOOL,419,400,,391,819
11450,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,10,"KAKYEKA STADIUM
NORTH (KAKYEKA) (A ‐",188,203,,325,391
11451,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,11,"KAKYEKA STADIUM
NORTH (KAKYEKA) (N ‐",181,144,,508,325
11452,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,12,"PENTECOSTAL PRI SCH
NORTH (KAKIIKA) (A ‐ J)",316,192,,867,508
11453,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,13,"PENTECOSTAL PRI SCH
NORTH (KAKIIKA) (K)",482,385,,612,867
11454,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,14,"PENTECOSTAL PRI SCH
NORTH (KAKIIKA) (N)",407,205,,681,612
11455,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,15,"PENTECOSTAL PRI SCH
NORTH (KAKIIKA) (O ‐ Z)",538,143,,592,681
11456,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,16,"HOSPITAL STAFF
QUARTERS",244,348,,381,592
11457,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,21,"KAKYEKA STADIUM
NORTH (KAKYEKA) (K ‐",217,164,,463,381
11458,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,22,"PENTECOSTAL PRI SCH
NORTH (KAKIIKA) (L ‐",224,239,,463,463
11459,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,03,KAMUKUZI,23,"BOOMA GOLF COURSE
(M ‐ Z)",132,331,,378,463
11460,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,04,RUHARO,01,"MBARARA MIXED PRI
SCH",171,207,,490,378
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
11461,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,04,RUHARO,02,"MBAGUTA [A ‐ L]
RUHARO INFANT",226,264,,541,490
11462,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,04,RUHARO,03,"MBAGUTA [M ‐ Z]
RUHARO INFANT",285,253,,571,538
11463,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,04,RUHARO,04,"NKOKONJERU PRI SCH
[A ‐ J]",269,301,,545,570
11464,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,04,RUHARO,05,"NKOKONJERU PRI SCH
[K‐L]",276,267,,523,543
11465,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,04,RUHARO,06,"KIYANJA [A ‐L]‐
MBARARA HIGH SCH",311,210,,822,521
11466,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,04,RUHARO,07,"KIYANJA [M ‐N]‐
MBARARA HIGH SCH",467,352,,592,819
11467,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,04,RUHARO,08,"RWIZI RUHARO
MUSLIM PRI SCH",310,280,,875,590
11468,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,04,RUHARO,09,"NKOKONJERU PRI SCH
[M ‐ N]",446,428,,797,874
11469,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,04,RUHARO,11,"NKOKONJERU PRI SCH
[O ‐ Z]",436,359,,387,795
11470,27,MBARARA,144,"MBARARA
MUNICIPALITY",02,KAMUKUZI,04,RUHARO,12,"KIYANJA [O ‐ Z]‐
MBARARA HIGH SCH",143,243,,334,386
11471,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,05,KATETE,01,KATETE MARKET,135,198,,331,333
11472,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,05,KATETE,02,"KITEBERO (SHAMMAH
PRI SCH) (A‐M)",170,160,,707,330
11473,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,05,KATETE,03,"NSIKYE (NYAMITANGA
DIVISION OFFICES) (A‐",306,400,,454,706
11474,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,05,KATETE,04,"KATETE CENTRAL (ST
MARY'S P SCH) (A ‐J )",215,239,,611,454
11475,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,05,KATETE,05,"KATETE CENTRAL (ST
MARY'S P SCH) (M)",316,293,,393,609
11476,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,05,KATETE,06,"KASENYI PRI. SCHOOL /
RWIZI",91,302,,451,393
11477,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,05,KATETE,07,"NYAMITANGA MUSLIM
PRI SCH",247,202,,900,449
11478,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,05,KATETE,08,"RWEMIRINZI HEALTH
CENTRE (RWEMIRINZI)",480,420,,879,900
11479,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,05,KATETE,09,"NSIKYE (NYAMITANGA
DIVISION OFFICES) (N‐Z)",483,395,,464,878
11480,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,05,KATETE,10,"KATETE CENTRAL (ST
MARY'S P SCH) (O ‐ Z )",275,189,,583,464
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
11481,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,05,KATETE,11,"RWEMIRINZI HEALTH
CENTRE",224,359,,546,583
11482,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,05,KATETE,12,"KATETE CENTRAL (ST
MARY'S P SCH) (K ‐L )",285,260,,633,545
11483,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,05,KATETE,13,"KATETE CENTRAL (ST
MARY'S P SCH) (N)",377,254,,714,631
11484,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,05,KATETE,14,"KITEBERO (SHAMMAH
PRI SCH) (N‐Z)",593,121,,589,714
11485,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,06,RUTI,01,CARITAS OFFICE NSIKYE,373,214,,347,587
11486,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,06,RUTI,02,"RUTI REHABILITATION
CENTRE",184,162,,652,346
11487,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,06,RUTI,03,"TANK HILL (VICTORY PRI
SCH)",291,361,,876,652
11488,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,06,RUTI,04,"RWIZI (RUTI MUSLIM
PRI SCH)",438,436,,832,874
11489,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,06,RUTI,05,"MARKET (RUTI HEALTH
CENTRE)",463,369,,700,832
11490,27,MBARARA,144,"MBARARA
MUNICIPALITY",03,NYAMITANGA,06,RUTI,06,"CARITAS OFFICES
NYAMITANGA",370,330,,550,700
11491,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,07,KAKOMA WARD,01,KAKOMA (A‐L),349,200,,564,549
11492,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,07,KAKOMA WARD,02,KATEBE PRI SCH,328,236,,384,564
11493,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,07,KAKOMA WARD,03,KAKOMA (M‐Z),194,190,,519,384
11494,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,08,NYARUBANGA WARD,01,KAFUNJO PRI SCH,255,264,,578,519
11495,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,08,NYARUBANGA WARD,02,"KAMWE KAMWE
TRADING CENTRE",268,310,,270,578
11496,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,09,RWEMIGYINA WARD,01,"KORANORYA
W/MARKET (A‐L)",125,145,,649,270
11497,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,09,RWEMIGYINA WARD,02,"RWEMIGINA II PARISH
HQTRS",381,268,,674,649
11498,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,09,RWEMIGYINA WARD,03,"BUREMBA CATHOLIC
CHURCH",364,310,,444,674
11499,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,09,RWEMIGYINA WARD,04,"KORANORYA
W/MARKET (M‐Z)",243,201,,637,444
11500,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,10,KAKIIKA WARD,01,"NYAKABUNGO KAKIIKA
TECHNICAL INSTITUTE",310,327,,308,637
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
11501,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,10,KAKIIKA WARD,02,"KYAMUGORANI C.O.U
KACENCE (A‐M)",160,148,,829,308
11502,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,10,KAKIIKA WARD,03,"KYAMUGORANI C.O.U
KACENCE (N‐Z)",435,394,,625,829
11503,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,10,KAKIIKA WARD,04,"KYAMUGORANI C.O.U
(BUTAGATSI)",406,219,,320,625
11504,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,10,KAKIIKA WARD,40,"MAKENKE TRADING
CENTRE GROUND (A ‐ J)",167,153,,340,320
11505,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,10,KAKIIKA WARD,41,"MAKENKE TRADING
CENTRE GROUND (K ‐",157,183,,594,340
11506,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,10,KAKIIKA WARD,42,"MAKENKE TRADING
CENTRE GROUND (N ‐ Z)",293,301,,595,594
11507,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,44,BUNUTSYA WARD,01,"BUNUTSYA PARISH
HQTRS",374,221,,764,595
11508,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,44,BUNUTSYA WARD,02,KYAHI PRI SCH (A‐L),418,346,,311,764
11509,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,44,BUNUTSYA WARD,03,BUNUTSYA C.O.U,177,134,,419,311
11510,27,MBARARA,144,"MBARARA
MUNICIPALITY",04,KAKIIKA,44,BUNUTSYA WARD,04,KYAHI PRI SCH (M‐Z),207,212,,312,419
11511,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,23,BUGASHE WARD,01,BUGASHE PRI SCH,168,144,,620,312
11512,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,23,BUGASHE WARD,02,"KANYAMURIMI
PLAYGROUND",301,315,,561,616
11513,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,23,BUGASHE WARD,03,KIBAYA MIXED PRI SCH,284,275,,850,559
11514,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,23,BUGASHE WARD,04,NYAKAHANGA PRI SCH,417,431,,325,848
11515,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,24,KATOJO WARD,01,NGAARA PRI SCH,166,159,,371,325
11516,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,24,KATOJO WARD,02,RWARIIRE PRI SCH,191,179,,824,370
11517,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,24,KATOJO WARD,03,KAKUKUURU PRI SCH,460,363,,793,823
11518,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,24,KATOJO WARD,04,KIBINGO C.O.U,432,359,,846,791
11519,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,24,KATOJO WARD,05,"NGAARA CATHOLIC
CHURCH",474,367,,374,841
11520,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,24,KATOJO WARD,06,"NYAKAYOJO HEALTH
CENTRE III",214,158,,202,372
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
11521,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,24,KATOJO WARD,07,KATOJO PARISH HQTRS,97,103,,515,200
11522,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,25,KICHWAMBA WARD,01,"KICHWAMBA JUNIOR
SCHOOL",260,253,,615,513
11523,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,25,KICHWAMBA WARD,02,"KANTANDA
KICHWAMBA PRI SCH",325,290,,418,615
11524,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,25,KICHWAMBA WARD,03,"MUTUKURA I CELL
HQTRS",201,216,,287,417
11525,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,25,KICHWAMBA WARD,04,KAMBABA PRI SCH,140,144,,578,284
11526,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,25,KICHWAMBA WARD,05,"MUTUKURA
II/KARENGYE",302,276,,416,578
11527,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,25,KICHWAMBA WARD,06,"KABASIKOZI
PLAYGROUND",234,180,,255,414
11528,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,26,"NYARUBUNGO II
WARD",01,KATUKURU PRI SCH,128,127,,505,255
11529,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,26,"NYARUBUNGO II
WARD",02,KAGAAGA PRI SCH,259,245,,525,504
11530,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,26,"NYARUBUNGO II
WARD",03,IBAARE C.O.U,266,257,,623,523
11531,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,26,"NYARUBUNGO II
WARD",04,RWAKWEZI C.O.U,313,308,,390,621
11532,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,26,"NYARUBUNGO II
WARD",05,"KARAMBI CATHOLIC
CHURCH",207,179,,278,386
11533,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,26,"NYARUBUNGO II
WARD",06,KINYAZA PRI SCH,161,117,,360,278
11534,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,26,"NYARUBUNGO II
WARD",07,KEIJENGYE PRI SCH,197,164,,332,361
11535,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,26,"NYARUBUNGO II
WARD",08,"NYARUBUNGO PARISH
HQTRS",169,161,,572,330
11536,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,27,RUKINDO WARD,01,"NYAKAYOJO SEN SEC.
SCH",286,283,,422,569
11537,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,27,RUKINDO WARD,02,RUKINDO PRI SCH,223,198,,437,421
11538,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,27,RUKINDO WARD,03,"NYAKAKONI CATHOLIC
CHURCH A",217,217,,635,434
11539,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,27,RUKINDO WARD,04,KAGANDO C.O.U,350,284,,714,634
11540,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,27,RUKINDO WARD,05,NYAMIYAGA PRI SCH,380,330,,368,710
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
11541,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,27,RUKINDO WARD,06,"BWENKOMA CATHOLIC
CHURCH",194,170,,386,364
11542,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,27,RUKINDO WARD,07,"NYAKAKONI CATHOLIC
CHURCH B",221,163,,431,384
11543,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,28,RWAKISHAKIZI WARD,01,"NYAKAYOJO SUB
COUNTY HQTRS",233,198,,513,431
11544,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,28,RWAKISHAKIZI WARD,02,KIBINGO P.T.C,268,245,,785,513
11545,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,28,RWAKISHAKIZI WARD,03,RUCECE C.O.U,411,370,,325,781
11546,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,28,RWAKISHAKIZI WARD,04,RWAKISHAKIIZI PRI SCH,177,146,,737,323
11547,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,28,RWAKISHAKIZI WARD,05,KAGASHA C.O.U,390,345,,442,735
11548,27,MBARARA,144,"MBARARA
MUNICIPALITY",05,NYAKAYOJO,28,RWAKISHAKIZI WARD,06,NSHUNGYENZI PRI SCH,238,202,,277,440
11549,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,14,KISHASHA WARD,01,"KYEMPITSI TRADING
CENTRE",132,145,,630,277
11550,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,14,KISHASHA WARD,02,"NYAKANENGO TRADING
CENTRE",314,315,,575,629
11551,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,14,KISHASHA WARD,03,RWOBUYENJE PRI SCH,310,264,,513,574
11552,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,15,NYABUHAMA WARD,01,KATOJO PRI SCH,274,236,,669,510
11553,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,15,NYABUHAMA WARD,02,"NYABUHAMA 2
TRADING CENTRE",362,304,,801,666
11554,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,15,NYABUHAMA WARD,03,"NYABUHAMA PARISH
HQTRS",395,403,,341,798
11555,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,15,NYABUHAMA WARD,04,"BIHARWE MIXED PRI
SCH",157,183,,667,340
11556,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,18,RWENJERU WARD,01,RWAKATERERE PRI SCH,351,313,,749,664
11557,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,18,RWENJERU WARD,02,"RWENJERU 2 PARISH
HQTRS",387,361,,954,748
11558,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,18,RWENJERU WARD,03,RWENJERU C.O.U,497,452,,514,949
11559,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,45,"BIHARWE EAST
WARD",01,NAZARETH CURCH,270,243,,593,513
11560,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,45,"BIHARWE EAST
WARD",02,KAMATARISI PRI SCH,339,251,,627,590
"SER
NO","DIST
CODE",DISTRICT_NAME,"EA
CODE",EA_NAME,"SCTY
CODE",SCOUNTY_NAME,"PAR
CODE",PARISH NAME,"PS
CODE",PS NAME,"NO OF
FEMALES",NO OF MALES,,"VOTER
COUNTS", 
11561,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,46,NYAKINENGO WARD,01,"NYAKINENGO 1 PARISH
HQTRS",302,324,,727,626
11562,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,46,NYAKINENGO WARD,02,"NYAKINENGO 2
BIHARWE MOSLEM PRI",398,327,,531,725
11563,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,46,NYAKINENGO WARD,03,RWEBIHURO PRI SCH,297,234,,285,531
11564,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,46,NYAKINENGO WARD,04,"KARITAKIMBARI
PROGRESSIVE PRI SCH",157,128,,211,285
11565,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,48,"BIHARWE WEST
WARD",01,"BIHARWE TOWN
BOARD PLAYGROUND",107,102,,519,209
11566,27,MBARARA,144,"MBARARA
MUNICIPALITY",09,BIHARWE,48,"BIHARWE WEST
WARD",02,"BIHARWE SUB COUNTY
HQTRS",273,246,,830,519
11567,27,MBARARA,144,RWAMPARA COUNTY,05,NYAKAYOJO,28,RWAKISHAKIZI WARD,07,RUCENCE PRI SCH,435,392,,310,827
11568,27,MBARARA,259,"KASHARI SOUTH
COUNTY",01,BUBAARE,01,KAMUSHOKO,01,KATOOMA PRI SCH,246,217,,469,463
11569,27,MBARARA,259,"KASHARI SOUTH
COUNTY",01,BUBAARE,01,KAMUSHOKO,02,"KOMUYAGA PRI SCH (A‐
L)",339,189,,532,528
